x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
6.278801843317992848e+00,-4.499251152073734517e+01,3.940329526253574244e-01
7.278801843317992848e+00,-4.499251152073734517e+01,3.951279050083704725e-01
8.278801843317992848e+00,-4.499251152073734517e+01,3.942223518560106221e-01
9.278801843317992848e+00,-4.499251152073734517e+01,3.936489446108217827e-01
1.027880184331799285e+01,-4.499251152073734517e+01,3.914316632376562133e-01
1.127880184331799285e+01,-4.499251152073734517e+01,3.907763819919360948e-01
1.227880184331799285e+01,-4.499251152073734517e+01,3.900787794940683284e-01
1.327880184331799285e+01,-4.499251152073734517e+01,3.890870885483113106e-01
1.427880184331799285e+01,-4.499251152073734517e+01,3.892684422907870534e-01
1.527880184331799285e+01,-4.499251152073734517e+01,3.884319935337634533e-01
1.627880184331799285e+01,-4.499251152073734517e+01,3.876868414495588944e-01
1.727880184331799285e+01,-4.499251152073734517e+01,3.873136588234213917e-01
1.827880184331799285e+01,-4.499251152073734517e+01,3.867492796766076602e-01
